Month,Avg_Energy_Stored,Avg_Energy_Discharged
2015-01,103.0095633187773,94.827365356623
2015-02,68.52422619047618,78.94456845238095
2015-03,88.04663978494624,76.10938172043011
2015-04,59.608000000000004,78.43766666666667
2015-05,172.4250345781466,169.5171092669433
2015-06,142.66320833333333,145.217125
2015-07,151.97370967741935,153.17375
2015-08,136.12684139784946,137.22021505376344
2015-09,116.86018055555556,116.79536111111112
2015-10,70.23876344086021,70.30154569892473
2015-11,109.08959722222221,91.09226388888888
2015-12,96.84516129032258,94.10071236559139
2016-01,109.50942204301074,116.77176075268818
2016-02,98.98192528735632,104.4500143678161
2016-03,109.1502688172043,116.93395161290323
2016-04,154.6291527777778,145.8314861111111
2016-05,152.87346774193549,161.3873387096774
2016-06,78.28083333333333,78.28088888888888
2016-07,146.98979838709678,146.31771505376344
2016-08,151.52915322580645,150.90737903225806
2016-09,126.81379166666666,112.81801388888888
2016-10,109.89391129032259,124.73197580645162
2016-11,116.09122222222221,115.87976388888887
2016-12,101.58029569892474,92.89797043010752
2017-01,89.74299731182795,94.20111559139785
2017-02,133.5457142857143,135.4867261904762
2017-03,157.94695238095238,151.49980952380952
2017-04,197.05969444444446,185.7121111111111
2017-05,173.8734005376344,193.89975806451613
2017-06,192.54383333333334,192.54379166666666
2017-07,197.2583198924731,182.03266129032255
2017-08,172.7254353932584,188.63540730337078
2017-09,158.19346045197742,145.5465536723164
2017-10,124.43004032258064,123.0120564516129
2017-11,154.280704845815,146.95176211453744
2017-12,115.30569892473119,115.30567204301074
2018-01,111.19170698924732,111.19165322580645
2018-02,111.47325892857143,111.47324404761905
2018-03,118.02576612903225,125.2783064516129
2018-04,146.10402777777776,155.8575138888889
2018-05,202.2792069892473,205.74904569892473
2018-06,166.04765277777778,162.18544444444444
2018-07,180.02809139784947,167.3165322580645
2018-08,175.75479838709677,190.5543010752688
2018-09,134.74777777777777,115.61911111111111
2018-10,105.53665322580646,124.77399193548388
2018-11,105.40011111111112,85.52155555555555
2018-12,121.20345430107527,121.20342741935485
2019-01,103.39250000000001,123.55376344086021
2019-02,116.73453869047619,116.73453869047619
2019-03,139.84720430107527,137.8202822580645
2019-04,184.98063888888888,182.40469444444446
2019-05,199.62131720430108,183.97979838709676
2019-06,199.9396111111111,200.1951388888889
2019-07,181.1609677419355,191.0393010752688
2019-08,160.5782123655914,151.1247446236559
2019-09,156.85119444444445,161.19856944444444
2019-10,122.8569489247312,117.9776747311828
2019-11,140.5355277777778,161.36880555555555
2019-12,84.93469444444445,66.18470833333333
